en,fr,it,de,es,ko,kana
,-,-,-,-,-,-
Stench,Puanteur,Tanfo,Duftnote,Hedor,악취,あくしゅう
Drizzle,Crachin,Piovischio,Niesel,Llovizna,잔비,あめふらし
Speed Boost,Turbo,Acceleratore,Temposchub,Impulso,가속,かそく
Battle Armor,Armurbaston,Lottascudo,Kampfpanzer,Armadura Batalla,전투무장,カブトアーマー
Sturdy,Fermeté,Vigore,Robustheit,Robustez,옹골참,がんじょう
Damp,Moiteur,Umidità,Feuchtigkeit,Humedad,습기,しめりけ
Limber,Échauffement,Scioltezza,Flexibilität,Flexibilidad,유연,じゅうなん
Sand Veil,Voile Sable,Sabbiavelo,Sandschleier,Velo Arena,모래숨기,すながくれ
Static,Statik,Statico,Statik,Elec. Estática,정전기,せいでんき
Volt Absorb,Absorbe-Volt,Assorbivolt,Voltabsorber,Absorbe Elec,축전,ちくでん
Water Absorb,Absorbe-Eau,Assorbacqua,H2O-Absorber,Absorbe Agua,저수,ちょすい
Oblivious,Benêt,Indifferenza,Dösigkeit,Despiste,둔감,どんかん
Cloud Nine,Ciel Gris,Antimeteo,Wolke Sieben,Aclimatación,날씨부정,ノーてんき
Compound Eyes,Œil Composé,Insettocchi,Facettenauge,Ojo Compuesto,복안,ふくがん
Insomnia,Insomnia,Insonnia,Insomnia,Insomnio,불면,ふみん
Color Change,Homochromie,Cambiacolore,Farbwechsel,Cambio Color,변색,へんしょく
Immunity,Vaccin,Immunità,Immunität,Inmunidad,면역,めんえき
Flash Fire,Torche,Fuocardore,Feuerfänger,Absorbe Fuego,타오르는불꽃,もらいび
Shield Dust,Écran Poudre,Polvoscudo,Puderabwehr,Polvo Escudo,인분,りんぷん
Own Tempo,Tempo Perso,Mente Locale,Tempomacher,Ritmo Propio,마이페이스,マイペース
Suction Cups,Ventouse,Ventose,Saugnapf,Ventosas,흡반,きゅうばん
Intimidate,Intimidation,Prepotenza,Bedroher,Intimidación,위협,いかく
Shadow Tag,Marque Ombre,Pedinombra,Wegsperre,Sombra Trampa,그림자밟기,かげふみ
Rough Skin,Peau Dure,Cartavetro,Rauhaut,Piel Tosca,까칠한피부,さめはだ
Wonder Guard,Garde Mystik,Magidifesa,Wunderwache,Superguarda,불가사의부적,ふしぎなまもり
Levitate,Lévitation,Levitazione,Schwebe,Levitación,부유,ふゆう
Effect Spore,Pose Spore,Spargispora,Sporenwirt,Efecto Espora,포자,ほうし
Synchronize,Synchro,Sincronismo,Synchro,Sincronía,싱크로,シンクロ
Clear Body,Corps Sain,Corpochiaro,Neutraltorso,Cuerpo Puro,클리어바디,クリアボディ
Natural Cure,Médic Nature,Alternacura,Innere Kraft,Cura Natural,자연회복,しぜんかいふく
Lightning Rod,Paratonnerre,Parafulmine,Blitzfänger,Pararrayos,피뢰침,ひらいしん
Serene Grace,Sérénité,Leggiadro,Edelmut,Dicha,하늘의은총,てんのめぐみ
Swift Swim,Glissade,Nuotovelox,Wassertempo,Nado Rápido,쓱쓱,すいすい
Chlorophyll,Chlorophylle,Clorofilla,Chlorophyll,Clorofila,엽록소,ようりょくそ
Illuminate,Lumiattirance,Risplendi,Erleuchtung,Iluminación,발광,はっこう
Trace,Calque,Traccia,Erfassen,Rastro,트레이스,トレース
Huge Power,Coloforce,Macroforza,Kraftkoloss,Potencia,천하장사,ちからもち
Poison Point,Point Poison,Velenopunto,Giftdorn,Punto Tóxico,독가시,どくのトゲ
Inner Focus,Attention,Forza Interiore,Konzentrator,Foco Interno,정신력,せいしんりょく
Magma Armor,Armumagma,Magmascudo,Magmapanzer,Escudo Magma,마그마의무장,マグマのよろい
Water Veil,Ignifu-Voile,Idrovelo,Aquahülle,Velo Agua,수의베일,みずのベール
Magnet Pull,Magnépiège,Magnetismo,Magnetfalle,Imán,자력,じりょく
Soundproof,Anti-Bruit,Antisuono,Lärmschutz,Insonorizar,방음,ぼうおん
Rain Dish,Cuvette,Copripioggia,Regengenuss,Cura Lluvia,젖은접시,あめうけざら
Sand Stream,Sable Volant,Sabbiafiume,Sandsturm,Chorro Arena,모래날림,すなおこし
Pressure,Pression,Pressione,Erzwinger,Presión,프레셔,プレッシャー
Thick Fat,Isograisse,Grassospesso,Speckschicht,Sebo,두꺼운지방,あついしぼう
Early Bird,Matinal,Sveglialampo,Frühwecker,Madrugar,일찍기상,はやおき
Flame Body,Corps Ardent,Corpodifuoco,Flammkörper,Cuerpo Llama,불꽃몸,ほのおのからだ
Run Away,Fuite,Fugafacile,Angsthase,Fuga,도주,にげあし
Keen Eye,Regard Vif,Sguardofermo,Adlerauge,Vista Lince,날카로운눈,するどいめ
Hyper Cutter,Hyper Cutter,Ipertaglio,Scherenmacht,Corte Fuerte,괴력집게,かいりきバサミ
Pickup,Ramassage,Raccolta,Mitnahme,Recogida,픽업,ものひろい
Truant,Absentéisme,Pigrone,Schnarchnase,Ausente,게으름,なまけ
Hustle,Agitation,Tuttafretta,Übereifer,Entusiasmo,의욕,はりきり
Cute Charm,Joli Sourire,Incantevole,Charmebolzen,Gran Encanto,헤롱헤롱바디,メロメロボディ
Plus,Plus,Più,Plus,Más,플러스,プラス
Minus,Moins,Meno,Minus,Menos,마이너스,マイナス
Forecast,Météo,Previsioni,Prognose,Predicción,기분파,てんきや
Sticky Hold,Glu,Antifurto,Klebekörper,Viscosidad,점착,ねんちゃく
Shed Skin,Mue,Muta,Expidermis,Mudar,탈피,だっぴ
Guts,Cran,Dentistretti,Adrenalin,Agallas,근성,こんじょう
Marvel Scale,Écaille Spéciale,Pelledura,Notschutz,Escama Especial,이상한비늘,ふしぎなうろこ
Liquid Ooze,Suintement,Melma,Kloakensoße,Lodo Líquido,해감액,ヘドロえき
Overgrow,Engrais,Erbaiuto,Notdünger,Espesura,심록,しんりょく
Blaze,Brasier,Aiutofuoco,Großbrand,Mar Llamas,맹화,もうか
Torrent,Torrent,Acquaiuto,Sturzbach,Torrente,급류,げきりゅう
Swarm,Essaim,Aiutinsetto,Hexaplaga,Enjambre,벌레의알림,むしのしらせ
Rock Head,Tête de Roc,Testadura,Steinhaupt,Cabeza Roca,돌머리,いしあたま
Drought,Sécheresse,Siccità,Dürre,Sequía,가뭄,ひでり
Arena Trap,Piège Sable,Trappoarena,Ausweglos,Trampa Arena,개미지옥,ありじごく
Vital Spirit,Esprit Vital,Spiritovivo,Munterkeit,Espíritu Vital,의기양양,やるき
White Smoke,Écran Fumée,Fumochiaro,Pulverrauch,Humo Blanco,하얀연기,しろいけむり
Pure Power,Force Pure,Forzapura,Mentalkraft,Energía Pura,순수한힘,ヨガパワー
Shell Armor,Coque Armure,Guscioscudo,Panzerhaut,Caparazón,조가비갑옷,シェルアーマー
Air Lock,Air Lock,Riparo,Klimaschutz,Bucle Aire,에어록,エアロック
